wqx,masswater,ri_dem,ma_brc,me_dep,me_focb,Target_Unit,From_X,To_X,wqdashboard,ri_ww
Molal,,,,,,mmol/kg,x * 1000,x / 1000,Molal,
Molar,,,,,,mmol/L,x * 1000,x / 1000,Molar,
Mole/L|Mole/l,,,,,,mmol/L,x * 1000,x / 1000,Mole/L|Mole/l,
months,,,,,,minutes,x * 43830,x / 43830,months,
mosm/kg,,,,,,umol/kg,x * 1000,x / 1000,mosm/kg,
mph,,,,,,m/sec,x * 0.44704,x / 0.44704,mph,
MPN,,,,,,CFU,x,x,MPN,
MPN/100g,,,,,,cfu/100g,x,x,MPN/100g,
MPN/100L|MPN/100l,,,,,,cfu/100mL,x * 1000,x / 1000,MPN/100L|MPN/100l,
MPN/g,,,,,,cfu/100g,x * 0.01,x / 0.01,MPN/g,
MPN/L|MPN/l,,,,,,cfu/100mL,x * 10,x / 10,MPN/L|MPN/l,
mrem,,,,,,mSv,x * 0.01,x / 0.01,mrem,
mrem/day,,,,,,mrem/day,x,x,mrem/day,
mrem/yr,,,,,,mrem/day,x * 0.002737851,x / 0.002737851,mrem/yr,
ms,,,,,,minutes,x / 60000,x * 60000,ms,
mS/m,,,,,,mS/m,x,x,mS/m,
MSC,,,,,,MSC,x,x,MSC,
mSv,,,,,,mSv,x,x,mSv,
MT/km2/yr,,,,,,mg/m2/day,x * 2.737850787,x / 2.737850787,MT/km2/yr,
mV,,,,,,volts,x * 0.001,x / 0.001,mV,
Mw,,,,,,Mw,x,x,Mw,
nCi/L|nCi/l,,,,,,pCi/L,x * 1000,x / 1000,nCi/L|nCi/l,
ng,,,,,,g,x * 0.000000001,x / 0.000000001,ng,
ng/cm2,,,,,,ug/cm2,x * 0.001,x / 0.001,ng/cm2,
ng/cm3,,,,,,ug/L,x,x,ng/cm3,
ng/kg,,,,,,ug/kg,x * 0.001,x / 0.001,ng/kg,
ng/m2,,,,,,g/m2,x * 0.000000001,x / 0.000000001,ng/m2,
ng/m2/day,,,,,,ng/m2/day,x,x,ng/m2/day,
ng/m3,,,,,,ug/L,x * 0.000001,x / 0.000001,ng/m3,
ng/mL|ng/ml,,,,,,ng/mL,x,x,ng/mL|ng/ml,
ng/uL,,,,,,ug/L,x * 1000,x / 1000,ng/uL,
nm,,,,,,m,x * 0.000000001,x / 0.000000001,nm,
nmi,,,,,,m,x * 1852,x / 1852,nmi,
nmi2,,,,,,m2,x * 3429904,x / 3429904,nmi2,
nmol/g DW/h,,,,,,nmol/g DW/h,x,x,nmol/g DW/h,
nmol/hr/g,,,,,,nmol/hr/g,x,x,nmol/hr/g,
nmol/kg,,,,,,mmol/kg,x * 0.000001,x / 0.000001,nmol/kg,
nmol/L|nmol/l,,,,,,nmol/L,x,x,nmol/L|nmol/l,
nmol/m3,,,,,,nmol/m3,x,x,nmol/m3,
Normal,,,,,,Normal,x,x,Normal,
ohm,,,,,,umho,x * 1000000,x / 1000000,ohm,
ohm-cm,,,,,,ohm-m,x * 0.01,x / 0.01,ohm-cm,
ohm-m,,,,,,ohm-m,x,x,ohm-m,
oz,,,,,,g,x * 28.34952313,x / 28.34952313,oz,
Pascal,,,,,,g/m2,x * 101.9716213,x / 101.9716213,Pascal,
pCi,,,,,,mSv,x,x,pCi,
pCi/g,,,,,,pCi/g,x,x,pCi/g,
pCi/L|pCi/l,,,,,,pCi/L,x,x,pCi/L|pCi/l,
pCi/m2,,,,,,pCi/m2,x,x,pCi/m2,
