wqx,masswater,ri_dem,ma_brc,me_dep,me_focb,Target_Unit,From_X,To_X
ug/dm2/month,,,,,,ug/dm2/month,x,
ug/g,,,,,,ug/kg,x * 1000,
ug/g DW/hr,,,,,,ug/g DW/hr,x,
ug/hr/g,,,,,,ug/hr/g,x,
ug/kg|ng/g,,,,,,ug/kg,x,
ug/L|ug/l,,,,,,ug/L,x,
ug/m2,,,,,,g/m2,x * 0.000001,
ug/m2/hr,,,,,,ug/m2/hr,x,
ug/m3,,,,,,ug/L,x * 0.001,
ug/mL|ug/ml,,,,,,ug/L,x * 1000,
ug/net,,,,,,ug/net,x,
ug/PUF,,,,,,ug/PUF,x,
ug/scrubbie,,,,,,ug/scrubbie,x,
ug/sec,,,,,,ug/sec,x,
ug/wipe,,,,,,ug/wipe,x,
uL|ul,,,,,,m3,x * 0.000000001,
um,,,,,,m,x * 0.000001,
um/yr,,,,,,um/yr,x,
um3,,,,,,um3,x,
um3/100mL|um3/100ml,,,,,,um3/100mL,x,
um3/cm2,,,,,,um3/cm2,x,
um3/L|um3/l,,,,,,mm3/L,x * 0.000000001,
um3/mL|um3/ml,,,,,,ppm,x * 0.000001,
umho|umhos|uS,,,,,,umho,x,
umol,,,,,,umol,x,
umol/g,,,,,,umol/kg,x * 0.001,
umol/kg,,,,,,umol/kg,x,
umol/mol,,,,,,umol/mol,x,
umol/S/m2,,,,,,umol/S/m2,x,
units/cm,,,,,,units/cm,x,
units/m,,,,,,units/cm,x * 0.01,
uPa2,,,,,,uPa2,x,
uS/m,,,,,,uS/cm,x * 0.01,
uW/cm2,,,,,,uW/cm2,x,
volts,,,,,,volts,x,
W/m2,,,,,,W/m2,x,
Watts,,,,,,Mw,x * 0.000001,
weeks,,,,,,minutes,x * 10080,
y/m/d,,,,,,y/m/d,x,
yd,,,,,,m,x * 0.9144,
yd2,,,,,,m2,x * 0.83612736,
yd3,,,,,,m3,x * 0.764544858,
years,,,,,,minutes,x * 525960,
ymmdd,,,,,,ymmdd,x,
yyyymmdd,,,,,,yyyymmdd,x,
